trial,success,reaction_time,target_p,total_p,target_radius,id,w,d,skipped,inaccurate,gen
0,0,-877.3999999761581,0,0,25,2.944,0.25,3.348,0,1,1
0,0,2102.399999976158,0,0,25,2.944,0.25,3.348,0,0,1
1,1,2752.7000000476837,50,50,5,5.042,0.05,3.195,0,0,1
2,1,2621.899999976158,100,150,5,5.206,0.05,3.59,0,0,1
3,1,1276.1000000238419,50,200,25,2.541,0.25,2.411,0,0,1
4,1,2964.5999999046326,0,200,5,5.604,0.05,4.763,0,0,1
5,0,3000.399999976158,50,200,5,5.605,0.05,4.766,1,0,1
5,0,3001.7999999523163,50,200,5,5.605,0.05,4.766,1,0,1
5,1,2284,50,250,5,5.605,0.05,4.766,0,0,1
6,0,3005.7999999523163,0,250,5,5.822,0.05,5.559,1,0,1
6,0,1850.2000000476837,0,250,5,5.822,0.05,5.559,0,0,1
7,1,2665.5,100,350,5,5.882,0.05,5.797,0,0,1
8,0,3003.5,100,350,5,5.617,0.05,4.809,1,0,1
8,1,1269.2000000476837,100,450,5,5.617,0.05,4.809,0,0,1
9,1,1600.6000000238419,50,500,25,3.403,0.25,4.789,0,0,1
10,0,1632.7000000476837,100,500,5,5.261,0.05,3.734,0,0,1
11,0,2734.5,50,500,5,5.849,0.05,5.662,0,0,1
12,1,1091.1000000238419,0,500,25,2.398,0.25,2.136,0,0,1
13,0,2437,0,500,5,5.508,0.05,4.451,0,0,1
14,0,1332.5,100,500,25,2.755,0.25,2.875,0,0,1
15,1,2249.3000000715256,50,550,25,2.528,0.25,2.383,0,0,1
16,1,1277.3000000715256,0,550,25,2.52,0.25,2.368,0,0,1
17,1,1698,50,600,25,2.729,0.25,2.815,0,0,1
18,0,3004.8000000715256,50,600,5,6.122,0.05,6.863,1,0,1
18,0,3002.2000000476837,50,600,5,6.122,0.05,6.863,1,0,1
18,0,2186.2999999523163,50,600,5,6.122,0.05,6.863,0,0,1
19,1,2310.0999999046326,0,600,25,3.49,0.25,5.117,0,0,1
20,0,2307.100000023842,0,600,5,5.946,0.05,6.066,0,0,1
21,1,1510,100,700,25,3.377,0.25,4.696,0,0,1
22,1,1284.6999999284744,50,750,25,2.647,0.25,2.633,0,0,1
23,1,1884.8000000715256,0,750,25,3.359,0.25,4.63,0,0,1
24,1,1822,100,850,5,5.201,0.05,3.578,0,0,1
25,1,1992.5,0,850,5,5.9,0.05,5.873,0,0,1
26,1,2855.5999999046326,50,900,5,6.185,0.05,7.178,0,0,1
27,0,1837.2999999523163,0,900,25,3.331,0.25,4.533,0,0,1
28,0,1743,100,900,25,2.833,0.25,3.064,0,0,1
29,1,2544.7999999523163,100,1000,5,5.044,0.05,3.198,0,0,1
30,0,3005,50,1000,5,5.05,0.05,3.214,1,0,1
30,0,3002.600000023842,50,1000,5,5.05,0.05,3.214,1,0,1
30,0,2214.2999999523163,50,1000,5,5.05,0.05,3.214,0,0,1
31,1,1549.8999999761581,100,1100,25,2.778,0.25,2.93,0,0,1
32,1,2381.5999999046326,100,1200,25,2.507,0.25,2.342,0,0,1
33,0,2240.7000000476837,0,1200,5,5.299,0.05,3.838,0,0,1
34,1,1791.3000000715256,0,1200,25,2.205,0.25,1.805,0,0,1
35,1,2725.600000023842,100,1300,25,2.338,0.25,2.029,0,0,1
36,1,1469.8999999761581,50,1350,25,2.132,0.25,1.691,0,0,1
37,1,1598.8000000715256,0,1350,25,2.935,0.25,3.324,0,0,1
38,1,1451,100,1450,25,2.461,0.25,2.252,0,0,1
39,1,1563,0,1450,25,2.725,0.25,2.806,0,0,1
40,1,1113.3999999761581,100,1550,25,2.47,0.25,2.27,0,0,1
41,0,2077.100000023842,0,1550,5,5.834,0.05,5.606,0,0,1
42,0,3001.7000000476837,50,1550,5,5.044,0.05,3.2,1,0,1
42,0,1937.5,50,1550,5,5.044,0.05,3.2,0,0,1
43,1,1472.5,100,1650,25,3.026,0.25,3.572,0,0,1
44,1,1075.5,50,1700,25,2.954,0.25,3.375,0,0,1
45,0,1461.8999999761581,0,1700,5,6.416,0.05,8.438,0,0,1
46,1,2102.2999999523163,0,1700,25,2.396,0.25,2.131,0,0,1
47,0,2801,50,1700,5,5.888,0.05,5.82,0,0,1
48,0,3003.4000000953674,0,1700,5,5.505,0.05,4.44,1,0,1
48,0,3002.5,0,1700,5,5.505,0.05,4.44,1,0,1
48,0,1969,0,1700,5,5.505,0.05,4.44,0,0,1
49,1,1719.0999999046326,100,1800,5,5.392,0.05,4.099,0,0,1
50,1,1720.3000000715256,50,1850,25,2.993,0.25,3.481,0,0,1
51,1,1076.5,0,1850,25,3.171,0.25,4.003,0,0,1
52,1,1182.7000000476837,0,1850,25,3.077,0.25,3.72,0,0,1
53,1,2217.600000023842,100,1950,5,6.353,0.05,8.074,0,0,1
54,0,1635.3999999761581,0,1950,25,2.749,0.25,2.861,0,0,1
55,0,2497.3000000715256,0,1950,5,5.989,0.05,6.253,0,0,1
56,0,3006.2000000476837,0,1950,5,6.208,0.05,7.293,1,0,1
56,0,1700.1000000238419,0,1950,5,6.208,0.05,7.293,0,0,1
57,1,1563,50,2000,15,4.566,0.15,6.806,0,0,1
58,0,2762.7000000476837,50,2000,5,6.342,0.05,8.01,0,0,1
59,1,1689.6000000238419,100,2100,25,3.323,0.25,4.505,0,0,1
60,0,2993.8000000715256,100,2100,5,6.417,0.05,8.443,0,0,1
61,0,1913.1000000238419,0,2100,15,3.568,0.15,3.259,0,0,1
62,0,3003.3000000715256,50,2100,5,5.528,0.05,4.515,1,0,1
62,0,1511,50,2100,5,5.528,0.05,4.515,0,0,1
63,1,1134.7999999523163,100,2200,25,2.263,0.25,1.899,0,0,1
64,0,1890.7999999523163,50,2200,5,5.565,0.05,4.633,0,1,1
64,0,2054.600000023842,50,2200,5,5.565,0.05,4.633,0,0,1
65,1,2172.8000000715256,100,2300,25,2.699,0.25,2.747,0,0,1
66,0,2254.399999976158,100,2300,5,5.156,0.05,3.465,0,0,1
67,0,1626.6999999284744,100,2300,15,3.562,0.15,3.243,0,0,1
