trial,success,reaction_time,target_p,total_p,target_radius,id,w,d,skipped,inaccurate,gen
0,1,1931,0,0,5,5.863,0.05,5.719,0,0,1
1,1,1236.5999999046326,100,100,25,2.53,0.25,2.388,0,0,1
2,1,2263.2999999523163,100,200,5,5.218,0.05,3.622,0,0,1
3,1,1335.7000000476837,0,200,25,3.234,0.25,4.205,0,0,1
4,1,1628.5,50,250,15,3.705,0.15,3.613,0,0,1
5,1,2237.9000000953674,50,300,5,6.406,0.05,8.382,0,0,1
6,1,2187.7000000476837,0,300,5,5.519,0.05,4.484,0,0,1
7,1,2548.600000023842,100,400,5,5.667,0.05,4.982,0,0,1
8,1,1336.8999999761581,100,500,25,2.95,0.25,3.365,0,0,1
9,1,2473.5,100,600,5,5.52,0.05,4.489,0,0,1
10,1,1925.6999999284744,0,600,5,5.421,0.05,4.184,0,0,1
11,1,1431.5,0,600,25,3.115,0.25,3.832,0,0,1
12,1,1422.4000000953674,50,650,25,3.148,0.25,3.933,0,0,1
13,1,1462.6000000238419,100,750,25,3.234,0.25,4.203,0,0,1
14,1,2303.2999999523163,100,850,5,6.486,0.05,8.862,0,0,1
15,1,1147,100,950,25,2.763,0.25,2.893,0,0,1
16,1,1252.2999999523163,0,950,25,2.226,0.25,1.838,0,0,1
17,1,1545.7000000476837,50,1000,25,3.132,0.25,3.883,0,0,1
18,1,2395.899999976158,100,1100,5,5.631,0.05,4.856,0,0,1
19,1,1162.7000000476837,0,1100,25,2.121,0.25,1.676,0,0,1
20,1,1330.3000000715256,0,1100,25,2.233,0.25,1.85,0,0,1
21,1,1661.7999999523163,0,1100,5,5.457,0.05,4.292,0,0,1
22,1,1224.1000000238419,100,1200,25,3.307,0.25,4.448,0,0,1
23,1,2763.899999976158,100,1300,5,5.065,0.05,3.248,0,0,1
24,1,1364.3999999761581,100,1400,25,2.762,0.25,2.891,0,0,1
25,0,3011.2999999523163,100,1400,5,6.314,0.05,7.855,1,0,1
25,1,2542.600000023842,100,1500,5,6.314,0.05,7.855,0,0,1
26,1,1873.3999999761581,0,1500,5,5.141,0.05,3.429,0,0,1
27,1,1816.1000000238419,0,1500,25,3,0.25,3.5,0,0,1
28,1,1931.6999999284744,100,1600,5,6.142,0.05,6.96,0,0,1
29,1,1130.6999999284744,0,1600,25,3,0.25,3.501,0,0,1
30,1,2196.399999976158,100,1700,5,5.348,0.05,3.974,0,0,1
31,1,2267.5,100,1800,5,5.017,0.05,3.138,0,0,1
32,1,1516.1999999284744,0,1800,5,5.336,0.05,3.94,0,0,1
33,1,1732.5,100,1900,25,2.937,0.25,3.33,0,0,1
34,1,1156.6000000238419,50,1950,25,2.243,0.25,1.867,0,0,1
35,1,2281.8000000715256,100,2050,5,6.286,0.05,7.701,0,0,1
36,1,1057.3999999761581,0,2050,25,2.779,0.25,2.931,0,0,1
37,1,1044.5,50,2100,25,2.513,0.25,2.354,0,0,1
38,1,1197.2999999523163,100,2200,25,2.935,0.25,3.325,0,0,1
39,1,1919.3000000715256,50,2250,5,5.07,0.05,3.259,0,0,1
40,1,1261.6000000238419,100,2350,25,3.115,0.25,3.83,0,0,1
41,1,1116.8999999761581,0,2350,25,2.266,0.25,1.905,0,0,1
42,1,1309.5,0,2350,25,3.461,0.25,5.005,0,0,1
43,1,1935.8999999761581,100,2450,5,5.418,0.05,4.177,0,0,1
44,1,1293.2999999523163,50,2500,25,3.046,0.25,3.628,0,0,1
