trial,success,reaction_time,target_p,total_p,target_radius,id,w,d,skipped,inaccurate,gen
0,1,1136.199999988079,100,100,12,4.19,0.15,5.177,0,0,1
1,1,1393.1000000238419,50,150,4,5.296,0.05,3.827,0,0,1
2,1,1342.1000000238419,50,200,4,5.083,0.05,3.289,0,0,1
3,1,1475.6000000238419,0,200,4,5.531,0.05,4.525,0,0,1
4,1,1283,50,250,4,5.23,0.05,3.652,0,0,1
5,1,1390.6000000238419,100,350,4,6.247,0.05,7.493,0,0,1
6,1,1661.1000000238419,0,350,4,5.942,0.05,6.047,0,0,1
7,1,1314.6000000238419,100,450,4,5.141,0.05,3.429,0,0,1
8,1,1290.8999999761581,50,500,4,5.159,0.05,3.472,0,0,1
9,1,1480,50,550,4,6.055,0.05,6.548,0,0,1
10,0,1672.0999999642372,50,550,4,6.397,0.05,8.328,0,0,1
11,1,1357.1000000238419,100,650,4,5.799,0.05,5.468,0,0,1
12,1,1670.6000000238419,0,650,4,5.864,0.05,5.725,0,0,1
13,1,1546.800000011921,50,700,4,5.282,0.05,3.791,0,0,1
14,1,895.8999999761581,50,750,20,2.87,0.25,3.154,0,0,1
15,1,749.7000000476837,100,850,20,3.1,0.25,3.788,0,0,1
16,1,1658.199999988079,50,900,4,5.304,0.05,3.85,0,0,1
17,1,1291.699999988079,50,950,4,6.118,0.05,6.847,0,0,1
18,1,850.8999999761581,50,1000,20,3.208,0.25,4.12,0,0,1
19,1,802.1000000238419,50,1050,20,2.774,0.25,2.92,0,0,1
20,1,1295.3999999761581,100,1150,4,5.556,0.05,4.605,0,0,1
21,1,1015.5,50,1200,20,2.99,0.25,3.472,0,0,1
22,1,789.6000000238419,50,1250,20,3.377,0.25,4.694,0,0,1
23,1,1454,100,1350,4,6.399,0.05,8.337,0,0,1
24,1,908.5,50,1400,20,2.969,0.25,3.414,0,0,1
25,1,1562.699999988079,0,1400,4,6.496,0.05,8.926,0,0,1
26,1,1414.699999988079,50,1450,4,5.321,0.05,3.899,0,0,1
27,1,1008.3000000119209,50,1500,12,3.872,0.15,4.094,0,0,1
28,1,1462.800000011921,100,1600,4,6.095,0.05,6.735,0,0,1
29,1,1266,0,1600,4,5.977,0.05,6.201,0,0,1
30,1,768.1999999880791,100,1700,20,2.215,0.25,1.822,0,0,1
31,1,1338,50,1750,4,5.247,0.05,3.698,0,0,1
32,1,1001.3999999761581,50,1800,20,3.46,0.25,5.002,0,0,1
33,0,1537.800000011921,50,1800,4,5.892,0.05,5.839,0,0,1
34,1,942.1999999880791,100,1900,20,3.134,0.25,3.889,0,0,1
35,1,1164.6000000238419,50,1950,12,4.886,0.15,8.571,0,0,1
36,1,780.6999999880791,100,2050,20,3.216,0.25,4.145,0,0,1
37,1,1497.300000011921,0,2050,4,5.593,0.05,4.726,0,0,1
38,1,944,100,2150,20,2.603,0.25,2.538,0,0,1
39,1,928,100,2250,12,3.543,0.15,3.197,0,0,1
40,1,907.8999999761581,50,2300,12,3.545,0.15,3.201,0,0,1
41,1,1685.800000011921,50,2350,4,5.039,0.05,3.188,0,0,1
42,1,685.3000000119209,50,2400,20,2.084,0.25,1.619,0,0,1
43,1,983.5999999642372,100,2500,20,2.269,0.25,1.91,0,0,1
44,1,712.6000000238419,0,2500,20,2.21,0.25,1.813,0,0,1
45,1,1059.699999988079,50,2550,4,5.509,0.05,4.453,0,0,1
46,1,1214,50,2600,4,5.024,0.05,3.154,0,0,1
47,1,850.5,100,2700,12,3.724,0.15,3.664,0,0,1
48,1,1458.699999988079,50,2750,4,5.357,0.05,4,0,0,1
49,1,1245.3999999761581,50,2800,4,5.317,0.05,3.886,0,0,1
50,1,1549.9000000357628,0,2800,4,5.996,0.05,6.282,0,0,1
51,1,1561.1000000238419,100,2900,4,6.463,0.05,8.721,0,0,1
52,1,1015.3999999761581,50,2950,12,4.118,0.15,4.909,0,0,1
53,1,1147.4000000357628,50,3000,4,6.025,0.05,6.414,0,0,1
54,1,1045.300000011921,0,3000,4,5.564,0.05,4.631,0,0,1
55,1,1534,100,3100,4,5.928,0.05,5.989,0,0,1
56,1,819.9000000357628,100,3200,20,2.551,0.25,2.43,0,0,1
57,1,1268.5999999642372,0,3200,4,5.084,0.05,3.292,0,0,1
58,1,778.8999999761581,0,3200,20,3.003,0.25,3.509,0,0,1
59,1,925.3999999761581,100,3300,12,4.359,0.15,5.858,0,0,1
60,0,687.2000000476837,100,3300,20,2.259,0.25,1.894,0,0,1
61,1,1050.3999999761581,100,3400,4,5.38,0.05,4.065,0,0,1
62,1,2112.300000011921,100,3500,4,6.217,0.05,7.339,0,0,1
63,1,765,0,3500,20,2.201,0.25,1.798,0,0,1
64,1,955.8000000119209,50,3550,20,2.741,0.25,2.843,0,0,1
65,1,839.1000000238419,100,3650,20,3.398,0.25,4.77,0,0,1
66,1,1355.5,100,3750,4,5.083,0.05,3.289,0,0,1
67,1,749.6999999880791,50,3800,20,2.96,0.25,3.391,0,0,1
68,1,1222.6000000238419,0,3800,4,5.222,0.05,3.633,0,0,1
69,1,771.3000000119209,50,3850,20,2.249,0.25,1.878,0,0,1
70,1,1356.3999999761581,0,3850,4,5.295,0.05,3.826,0,0,1
71,1,1417.800000011921,50,3900,4,6.16,0.05,7.051,0,0,1
72,1,1398.699999988079,50,3950,4,5.609,0.05,4.779,0,0,1
73,1,746,100,4050,20,2.599,0.25,2.53,0,0,1
74,1,897.9000000357628,0,4050,20,3.247,0.25,4.247,0,0,1
75,1,1312,0,4050,4,6.08,0.05,6.666,0,0,1
76,1,1782,100,4150,4,6.244,0.05,7.478,0,0,1
77,1,2004,100,4250,4,5.547,0.05,4.574,0,0,1
78,1,1442.8999999761581,0,4250,4,5.05,0.05,3.214,0,0,1
