trial,success,reaction_time,target_p,total_p,target_radius,id,w,d,skipped,inaccurate,gen
0,1,959.5,50,50,32,2.436,0.25,2.205,0,0,1
1,1,1393.7999999970198,100,150,19,4.365,0.15,5.883,0,0,1
2,1,1328.3999999910593,50,200,19,3.946,0.15,4.324,0,0,1
3,1,1012.7999999970198,0,200,19,3.964,0.15,4.381,0,0,1
4,1,1354.6000000089407,100,300,19,4.904,0.15,8.679,0,0,1
5,1,1472.5,50,350,6,5.033,0.05,3.174,0,0,1
6,1,1528.7999999970198,0,350,19,4.404,0.15,6.053,0,0,1
7,1,1169.4000000059605,0,350,19,3.843,0.15,4.006,0,0,1
8,1,1180.2000000029802,100,450,19,4.617,0.15,7.06,0,0,1
9,0,2244.7999999970198,100,450,6,5.204,0.05,3.587,0,0,1
10,1,1582.7999999970198,0,450,6,5.886,0.05,5.813,0,0,1
11,1,1491.7000000029802,50,500,6,5.578,0.05,4.677,0,0,1
12,1,1264.8999999910593,0,500,19,4.291,0.15,5.574,0,0,1
13,1,1120.5,0,500,19,3.873,0.15,4.095,0,0,1
14,1,1278.2000000029802,50,550,19,4.792,0.15,8.012,0,0,1
15,1,1347.7999999970198,50,600,19,3.809,0.15,3.904,0,0,1
16,1,1332.5999999940395,100,700,19,4.935,0.15,8.879,0,0,1
17,1,1679.5,50,750,6,6.348,0.05,8.047,0,0,1
18,1,1116.6000000089407,0,750,19,4.28,0.15,5.529,0,0,1
19,1,1286.300000011921,100,850,19,4.445,0.15,6.232,0,0,1
20,1,1286.0999999940395,0,850,19,4.445,0.15,6.235,0,0,1
21,1,2122.2999999970198,100,950,6,5.283,0.05,3.794,0,0,1
22,1,1361.2000000029802,100,1050,19,4.273,0.15,5.502,0,0,1
23,1,1142.7000000029802,50,1100,19,3.739,0.15,3.705,0,0,1
24,1,1266,50,1150,19,3.66,0.15,3.491,0,0,1
25,1,1809.7000000029802,100,1250,6,5.547,0.05,4.574,0,0,1
