trial,success,reaction_time,target_p,total_p,target_radius,id,w,d,skipped,inaccurate,gen
0,1,1914.7999997138977,0,0,17,4.158,0.15,5.056,0,0,1
1,1,1141.9000000953674,0,0,28,2.232,0.25,1.848,0,0,1
2,1,1680.5999999046326,0,0,6,5.585,0.05,4.701,0,0,1
3,1,1883.5,50,50,6,5.714,0.05,5.148,0,0,1
4,1,2244,0,50,6,5.66,0.05,4.956,0,0,1
5,1,1619.1000003814697,50,100,6,5.705,0.05,5.116,0,0,1
6,1,1482.5999999046326,50,150,6,5.28,0.05,3.785,0,0,1
7,1,1379.6999998092651,0,150,28,2.972,0.25,3.423,0,0,1
8,1,1739.0999999046326,100,250,6,5.991,0.05,6.261,0,0,1
9,1,1615.5999999046326,0,250,17,4.767,0.15,7.87,0,0,1
10,0,958.7999997138977,0,250,28,2.5,0.25,2.329,0,0,1
11,0,1274.2999997138977,100,250,17,4.177,0.15,5.128,0,0,1
12,1,2779.7000002861023,100,350,17,4.676,0.15,7.369,0,0,1
13,1,1925.8000001907349,0,350,6,5.362,0.05,4.014,0,0,1
14,1,1331,50,400,17,4.31,0.15,5.651,0,0,1
15,1,2129,100,500,6,6.494,0.05,8.913,0,0,1
16,1,1868.5999999046326,100,600,6,5.627,0.05,4.842,0,0,1
17,1,1498.0999999046326,50,650,17,4.454,0.15,6.276,0,0,1
18,1,1177.5,100,750,28,3.457,0.25,4.99,0,0,1
19,1,2187.800000190735,50,800,6,5.675,0.05,5.01,0,0,1
20,1,2762.0999999046326,0,800,6,5.473,0.05,4.341,0,0,1
21,1,1099.1000003814697,0,800,17,3.985,0.15,4.451,0,0,1
22,1,1246,100,900,28,3.215,0.25,4.143,0,0,1
23,0,807.2999997138977,0,900,28,2.349,0.25,2.048,0,0,1
24,1,1498.5999999046326,0,900,6,6.334,0.05,7.965,0,0,1
25,1,2067,100,1000,6,5.556,0.05,4.606,0,0,1
26,1,1738.9000000953674,100,1100,17,3.724,0.15,3.665,0,0,1
27,1,1121.9000000953674,50,1150,28,2.855,0.25,3.118,0,0,1
28,1,1181.4000000953674,0,1150,28,2.814,0.25,3.016,0,0,1
29,1,2154.7999997138977,100,1250,6,5.731,0.05,5.21,0,0,1
30,1,1780.1000003814697,50,1300,17,4.064,0.15,4.716,0,0,1
31,1,985.5,100,1400,28,2.459,0.25,2.248,0,0,1
32,1,2049.0999999046326,50,1450,6,5.72,0.05,5.171,0,0,1
33,1,1998.9000000953674,100,1550,6,5.473,0.05,4.342,0,0,1
34,0,1713.8000001907349,50,1550,6,5.614,0.05,4.799,0,0,1
35,1,1883.6999998092651,100,1650,6,5.657,0.05,4.945,0,0,1
36,0,834.2000002861023,0,1650,28,2.718,0.25,2.79,0,0,1
37,1,1732,0,1650,6,5.712,0.05,5.141,0,0,1
38,0,3010.7000002861023,0,1650,6,5.947,0.05,6.071,1,0,1
38,0,1765.2000002861023,0,1650,6,5.947,0.05,6.071,0,0,1
39,0,1212.0999999046326,50,1650,17,4.489,0.15,6.437,0,0,1
40,1,1097.3999996185303,0,1650,28,3.465,0.25,5.02,0,0,1
41,1,1380.3000001907349,0,1650,17,3.985,0.15,4.45,0,0,1
42,1,2108.1000003814697,0,1650,6,6.489,0.05,8.883,0,0,1
43,1,2233.4000000953674,100,1750,6,5.592,0.05,4.724,0,0,1
44,1,1406.3000001907349,100,1850,17,4.47,0.15,6.35,0,0,1
45,1,1873.9000000953674,50,1900,6,5.372,0.05,4.041,0,0,1
46,1,2797,50,1950,6,6.216,0.05,7.332,0,0,1
47,0,857.5,0,1950,28,2.479,0.25,2.288,0,0,1
48,1,1808.5999999046326,100,2050,6,5.914,0.05,5.931,0,0,1
49,1,1626,100,2150,6,6.043,0.05,6.495,0,0,1
50,1,833.7000002861023,100,2250,28,2.226,0.25,1.84,0,0,1
51,1,1387.0999999046326,0,2250,17,4.658,0.15,7.272,0,0,1
52,1,1536.2999997138977,50,2300,28,2.243,0.25,1.867,0,0,1
53,1,2527,50,2350,6,5.851,0.05,5.671,0,0,1
54,1,1738.6999998092651,0,2350,17,3.927,0.15,4.264,0,0,1
55,1,1132.2999997138977,100,2450,17,3.937,0.15,4.296,0,0,1
56,0,1358.5,50,2450,17,4.859,0.15,8.409,0,0,1
57,1,1269,100,2550,28,3.39,0.25,4.742,0,0,1
58,1,1611.3999996185303,50,2600,6,5.294,0.05,3.824,0,0,1
59,1,1084.7999997138977,50,2650,28,3.403,0.25,4.787,0,0,1
60,1,2032.2999997138977,100,2750,6,5.864,0.05,5.726,0,0,1
61,1,1509.2000002861023,0,2750,6,5.116,0.05,3.368,0,0,1
62,1,2040.3000001907349,0,2750,6,5.313,0.05,3.875,0,0,1
63,1,1908.3000001907349,50,2800,6,6.112,0.05,6.816,0,0,1
64,1,1828.9000000953674,0,2800,6,6.131,0.05,6.907,0,0,1
65,1,2389.300000190735,100,2900,6,6.08,0.05,6.665,0,0,1
66,1,1554.8000001907349,50,2950,17,4.451,0.15,6.263,0,0,1
67,0,1454.9000000953674,0,2950,6,5.043,0.05,3.198,0,0,1
68,1,1120.7000002861023,0,2950,28,2.772,0.25,2.916,0,0,1
69,1,1032.0999999046326,0,2950,28,2.926,0.25,3.3,0,0,1
70,1,1136.6999998092651,50,3000,17,4.378,0.15,5.936,0,0,1
71,1,1542.4000000953674,0,3000,6,5.173,0.05,3.509,0,0,1
72,0,1017,0,3000,28,2.984,0.25,3.455,0,0,1
73,1,1227.8000001907349,50,3050,28,3.434,0.25,4.903,0,0,1
74,1,1346.6999998092651,0,3050,17,4.19,0.15,5.175,0,0,1
75,1,2677.1000003814697,0,3050,6,6.455,0.05,8.676,0,0,1
76,1,1869.0999999046326,50,3100,6,5.729,0.05,5.204,0,0,1
77,1,1044.6000003814697,50,3150,28,2.91,0.25,3.259,0,0,1
78,1,2175.9000000953674,50,3200,6,5.906,0.05,5.898,0,0,1
79,1,1397.8000001907349,100,3300,28,3.202,0.25,4.101,0,0,1
80,1,2865.5999999046326,100,3400,6,5.474,0.05,4.345,0,0,1
81,1,3011.9000000953674,100,3500,6,5.158,0.05,3.471,0,0,1
82,1,1811.4000000953674,50,3550,17,4.625,0.15,7.102,0,0,1
83,1,1673.5,50,3600,6,5.265,0.05,3.745,0,0,1
