trial,success,reaction_time,target_p,total_p,target_radius,id,w,d,skipped,inaccurate,gen
0,1,1823.6000000238419,50,50,17,3.955,0.15,4.352,0,0,1
1,0,2661.199999988079,50,50,6,6.241,0.05,7.463,0,0,1
2,0,1214.5999999940395,0,50,28,2.114,0.25,1.665,0,0,1
3,1,1438.7999999821186,50,100,28,2.748,0.25,2.859,0,0,1
4,0,2271,0,100,6,6.473,0.05,8.782,0,0,1
5,1,1572.9000000059605,100,200,28,2.855,0.25,3.118,0,0,1
6,1,1183.800000011921,50,250,28,2.229,0.25,1.844,0,0,1
7,1,1542,100,350,17,3.735,0.15,3.693,0,0,1
8,1,1119.4000000059605,100,450,28,2.371,0.25,2.087,0,0,1
9,1,1712.300000011921,50,500,17,4.593,0.15,6.938,0,0,1
10,1,956.9000000059605,0,500,28,2.851,0.25,3.107,0,0,1
11,0,1642.800000011921,50,500,17,4.632,0.15,7.141,0,0,1
12,1,1481.300000011921,0,500,17,4.572,0.15,6.833,0,0,1
13,1,1135.6000000238419,50,550,28,2.834,0.25,3.066,0,0,1
14,0,1493.9000000059605,0,550,17,4.754,0.15,7.795,0,0,1
15,1,1807.8999999761581,50,600,17,4.908,0.15,8.704,0,0,1
16,1,1247,50,650,28,2.465,0.25,2.261,0,0,1
17,0,1405.5,0,650,17,4.31,0.15,5.651,0,0,1
18,1,1350.4000000059605,0,650,28,2.51,0.25,2.349,0,0,1
19,1,1022.5999999940395,50,700,17,4.661,0.15,7.289,0,0,0
20,0,1471,0,700,17,4.478,0.15,6.384,0,0,1
21,0,1182.2000000178814,50,700,17,4.343,0.15,5.79,0,0,1
22,0,1943.8999999761581,0,700,6,5.748,0.05,5.273,0,0,1
23,0,1781.7000000178814,100,700,6,6.107,0.05,6.793,0,0,1
24,0,1431.5,50,700,17,4.053,0.15,4.679,0,0,1
25,1,2355.4000000059605,100,800,6,6.393,0.05,8.302,0,0,1
26,0,2071.100000023842,100,800,6,5.75,0.05,5.283,0,0,1
27,1,1636,100,900,17,4.46,0.15,6.301,0,0,1
28,1,1394.5,0,900,17,4.596,0.15,6.954,0,0,1
29,1,1630.0999999940395,100,1000,17,4.925,0.15,8.812,0,0,0
30,1,1421.199999988079,50,1050,17,4.445,0.15,6.234,0,0,1
31,0,1393.5,50,1050,17,4.362,0.15,5.869,0,0,1
32,0,1202.1000000238419,0,1050,28,2.86,0.25,3.129,0,0,1
33,0,1398.5,50,1050,6,6.038,0.05,6.47,0,0,1
34,1,1693.800000011921,100,1150,6,6.36,0.05,8.116,0,0,1
35,0,2191.5,100,1150,6,5.158,0.05,3.47,0,0,1
36,1,1654.4000000059605,50,1200,17,4.7,0.15,7.499,0,0,1
37,0,1277.9000000059605,50,1200,17,4.409,0.15,6.073,0,0,1
38,1,1334.5999999940395,100,1300,28,3.488,0.25,5.11,0,0,1
39,0,1020.5,50,1300,28,2.626,0.25,2.587,0,0,1
40,1,1288.5999999940395,50,1350,28,2.969,0.25,3.416,0,0,1
41,1,1175.699999988079,50,1400,28,2.758,0.25,2.882,0,0,1
42,1,1253.0999999940395,0,1400,17,3.951,0.15,4.34,0,0,1
43,0,1423.9000000059605,100,1400,6,6.41,0.05,8.402,0,0,1
44,0,1494.5999999940395,0,1400,17,4.036,0.15,4.622,0,0,1
45,0,2037.5,50,1400,6,5.253,0.05,3.712,0,0,1
46,0,1015.4000000059605,100,1400,28,2.983,0.25,3.453,0,0,1
47,1,1749.7000000178814,0,1400,17,4.954,0.15,8.996,0,0,1
48,1,1087.300000011921,100,1500,28,2.768,0.25,2.906,0,0,1
49,1,1213.9000000059605,0,1500,28,2.113,0.25,1.663,0,0,1
50,1,1509.2999999821186,100,1600,6,5.088,0.05,3.302,0,0,1
51,0,1550.800000011921,0,1600,17,4.641,0.15,7.184,0,0,1
52,1,1855.800000011921,0,1600,6,5.916,0.05,5.937,0,0,1
53,0,1494.2000000178814,50,1600,17,3.792,0.15,3.856,0,0,1
54,0,3000.5,0,1600,6,5.26,0.05,3.733,1,0,1
54,1,2467.600000023842,0,1600,6,5.26,0.05,3.733,0,0,1
55,1,2431.4000000059605,100,1700,6,5.455,0.05,4.288,0,0,1
56,1,1536,100,1800,17,4.799,0.15,8.054,0,0,1
57,1,1582,0,1800,28,2.996,0.25,3.488,0,0,1
58,0,1502.5,100,1800,17,4.456,0.15,6.284,0,0,1
59,0,1875.0999999940395,50,1800,6,5.664,0.05,4.971,0,0,1
60,1,1154.5,0,1800,28,3.48,0.25,5.08,0,0,1
61,1,1319.199999988079,50,1850,28,3.485,0.25,5.098,0,0,1
62,1,1590.6000000238419,0,1850,17,4.835,0.15,8.262,0,0,1
63,1,1183.800000011921,0,1850,28,2.63,0.25,2.596,0,0,1
64,0,1047.5999999940395,50,1850,28,2.48,0.25,2.289,0,0,1
65,1,1540.7000000178814,50,1900,17,3.513,0.15,3.126,0,0,1
66,0,2125.699999988079,0,1900,6,6.081,0.05,6.669,0,0,1
67,0,2097.2999999821186,100,1900,6,5.267,0.05,3.751,0,0,1
68,1,1619.9000000059605,0,1900,6,5.944,0.05,6.056,0,0,1
69,1,1295.5999999940395,0,1900,17,3.825,0.15,3.95,0,0,1
70,1,1766.199999988079,50,1950,6,5.405,0.05,4.138,0,0,1
71,1,1992.5999999940395,50,2000,6,5.179,0.05,3.522,0,0,1
72,1,2095.199999988079,100,2100,17,3.926,0.15,4.26,0,0,1
73,0,1955.699999988079,100,2100,17,4.767,0.15,7.87,0,0,1
74,1,1767.5,100,2200,6,6.259,0.05,7.561,0,0,1
75,1,2614.4000000059605,100,2300,6,5.206,0.05,3.591,0,0,1
76,1,1844.4000000059605,50,2350,17,4.164,0.15,5.077,0,0,1
77,1,2099.399999976158,50,2400,6,6.318,0.05,7.878,0,0,1
78,1,1469.0999999940395,100,2500,28,2.931,0.25,3.313,0,0,1
79,1,1359.2999999821186,50,2550,17,3.885,0.15,4.131,0,0,1
80,1,1614.199999988079,50,2600,6,5.974,0.05,6.188,0,0,1
81,0,2110.9000000059605,0,2600,6,5.912,0.05,5.92,0,0,1
82,1,1643.4000000059605,100,2700,6,6.19,0.05,7.2,0,0,1
83,1,1209.2999999821186,50,2750,28,3.05,0.25,3.64,0,0,1
84,1,1975.199999988079,50,2800,17,4.655,0.15,7.258,0,0,1
85,1,1853.5,0,2800,17,4.159,0.15,5.057,0,0,1
86,1,1806.1000000238419,0,2800,17,4.15,0.15,5.028,0,0,1
87,1,1792.199999988079,100,2900,28,2.883,0.25,3.19,0,0,1
88,0,2085,50,2900,6,6.356,0.05,8.089,0,0,1
89,1,1279.699999988079,0,2900,17,4.566,0.15,6.807,0,0,1
90,1,1830.4000000059605,0,2900,17,4.696,0.15,7.477,0,0,1
91,1,2127.5999999940395,0,2900,6,5.005,0.05,3.112,0,0,1
92,0,1389.5999999940395,0,2900,17,3.581,0.15,3.29,0,0,1
93,1,1376.300000011921,50,2950,28,2.711,0.25,2.774,0,0,1
94,1,2117.699999988079,0,2950,6,5.768,0.05,5.35,0,0,1
95,1,1565.2000000178814,0,2950,17,4.128,0.15,4.946,0,0,1
96,1,1464.800000011921,50,3000,28,2.954,0.25,3.375,0,0,1
97,1,1614.0999999940395,100,3100,28,3.358,0.25,4.625,0,0,1
98,1,1449.5,50,3150,17,3.533,0.15,3.172,0,0,1
99,1,1661.2999999821186,100,3250,28,2.729,0.25,2.814,0,0,1
100,1,2556.5,0,3250,6,5.131,0.05,3.404,0,0,1
101,1,2061.600000023842,100,3350,17,4.616,0.15,7.058,0,0,1
102,1,1935.5,50,3400,28,3.208,0.25,4.121,0,0,1
103,1,1847,100,3500,17,4.108,0.15,4.872,0,0,1
104,1,1880,100,3600,6,5.411,0.05,4.154,0,0,1
105,1,1679.5,50,3650,28,3.355,0.25,4.616,0,0,1
106,1,1694.0999999940395,0,3650,28,3.389,0.25,4.739,0,0,1
107,1,1710.7000000178814,0,3650,28,3.016,0.25,3.544,0,0,1
108,1,1869.5999999940395,100,3750,28,2.556,0.25,2.439,0,0,1
