trial,success,reaction_time,target_p,total_p,target_radius,id,w,d,skipped,inaccurate,gen
0,1,2030.2000000476837,50,50,8,6.491,0.05,8.898,0,0,0
1,1,1127.8999999761581,100,150,40,2.132,0.25,1.692,0,0,1
2,1,1392.1000000238419,100,250,24,3.761,0.15,3.768,0,0,1
3,0,3013,50,250,8,5.717,0.05,5.158,1,0,1
3,1,2494.8000000715256,50,300,8,5.717,0.05,5.158,0,0,1
4,0,3003.8000000715256,100,300,8,5.842,0.05,5.636,1,0,1
4,0,3024.9000000953674,100,300,8,5.842,0.05,5.636,1,0,1
4,0,2627.8000000715256,100,300,8,5.842,0.05,5.636,0,0,1
5,0,2528.5999999046326,100,300,8,5.881,0.05,5.792,0,0,1
6,1,2293,0,300,24,4.664,0.15,7.304,0,0,1
7,1,2514.4000000953674,0,300,8,5.47,0.05,4.333,0,0,1
8,1,1691.2000000476837,50,350,24,4.035,0.15,4.617,0,0,1
9,0,3005,0,350,8,6.395,0.05,8.315,1,0,1
9,0,2584.6999999284744,0,350,8,6.395,0.05,8.315,0,0,1
10,1,1958.8999999761581,0,350,24,4.786,0.15,7.975,0,0,1
11,1,2207.399999976158,100,450,8,5.379,0.05,4.061,0,0,1
12,1,1895.6000000238419,50,500,8,5.595,0.05,4.734,0,0,1
13,1,2090.399999976158,50,550,8,5.579,0.05,4.681,0,0,1
14,1,2369.4000000953674,0,550,8,6.194,0.05,7.222,0,0,1
15,1,1976.2000000476837,50,600,8,6.244,0.05,7.479,0,0,1
16,1,1721,100,700,8,5.005,0.05,3.112,0,0,1
17,1,2595.600000023842,50,750,8,6.103,0.05,6.773,0,0,1
18,0,2631.5,0,750,8,6.339,0.05,7.995,0,0,1
19,0,2548.2999999523163,50,750,8,5.625,0.05,4.837,0,0,1
20,0,2413.7999999523163,50,750,8,5.062,0.05,3.24,0,0,1
21,1,1572.1000000238419,0,750,24,3.843,0.15,4.004,0,0,1
