trial,success,reaction_time,target_p,total_p,target_radius,id,w,d,skipped,inaccurate,gen
0,1,996.5999999046326,100,100,27,3.027,0.25,3.576,0,0,1
1,1,1428.7000000476837,0,100,5,6.294,0.05,7.745,0,0,1
2,1,906.7000000476837,0,100,27,2.689,0.25,2.724,0,0,1
3,1,750.7999999523163,50,150,27,2.363,0.25,2.073,0,0,1
4,1,1276.2999999523163,50,200,5,5.671,0.05,4.995,0,0,1
5,1,1690,0,200,5,5.574,0.05,4.663,0,0,1
6,1,769.7999999523163,0,200,27,3.352,0.25,4.604,0,0,1
7,1,1077.9000000953674,0,200,16,3.765,0.15,3.778,0,0,1
8,1,957.9000000953674,100,300,27,2.818,0.25,3.025,0,0,1
9,1,1005.8999998569489,100,400,16,4.488,0.15,6.434,0,0,1
10,1,882.2999999523163,0,400,27,2.144,0.25,1.711,0,0,1
11,1,1382.5,0,400,5,5.154,0.05,3.461,0,0,1
12,1,926.5999999046326,50,450,27,3.372,0.25,4.678,0,0,1
13,1,1057.0999999046326,100,550,16,4.926,0.15,8.823,0,0,1
14,1,714.5999999046326,0,550,27,2.908,0.25,3.253,0,0,1
15,0,1767.5999999046326,0,550,5,6.43,0.05,8.522,0,0,1
16,1,2042.5999999046326,100,650,5,6.132,0.05,6.911,0,0,1
17,1,1657.5,50,700,5,5.857,0.05,5.697,0,0,1
18,1,1453.1999998092651,0,700,5,5.081,0.05,3.285,0,0,1
19,1,1427.2000000476837,50,750,5,5.9,0.05,5.87,0,0,1
20,1,828.5999999046326,50,800,16,4.232,0.15,5.337,0,0,1
21,1,1209.6000001430511,100,900,5,5.411,0.05,4.155,0,0,1
22,1,1256.0999999046326,0,900,5,5.447,0.05,4.261,0,0,1
23,1,708.4000000953674,100,1000,27,3.206,0.25,4.113,0,0,1
24,1,749.2000000476837,50,1050,27,3.358,0.25,4.627,0,0,1
25,1,1635.6999998092651,0,1050,5,6.361,0.05,8.121,0,0,1
26,1,998.1000001430511,0,1050,16,3.941,0.15,4.306,0,0,1
27,1,1168.1000001430511,50,1100,5,5.036,0.05,3.18,0,0,1
28,1,737.8999998569489,50,1150,27,3.201,0.25,4.098,0,0,1
29,1,932.0999999046326,0,1150,16,4.785,0.15,7.973,0,0,1
30,1,1516,50,1200,5,5.481,0.05,4.367,0,0,1
31,1,981,50,1250,16,4.496,0.15,6.472,0,0,1
32,1,690.0999999046326,0,1250,27,2.337,0.25,2.027,0,0,1
33,1,1609.0999999046326,100,1350,5,6.458,0.05,8.689,0,0,1
34,1,902.7000000476837,0,1350,16,4.199,0.15,5.209,0,0,1
35,1,869.1000001430511,0,1350,16,4.438,0.15,6.203,0,0,1
36,1,827.8000001907349,50,1400,16,4.195,0.15,5.195,0,0,1
37,1,1206.9000000953674,50,1450,5,5.493,0.05,4.403,0,0,1
38,1,739,0,1450,27,3.279,0.25,4.353,0,0,1
39,1,653.5,100,1550,27,2.311,0.25,1.981,0,0,1
40,1,2049.4000000953674,50,1600,5,6.188,0.05,7.189,0,0,1
41,1,1141.2999999523163,0,1600,5,5.598,0.05,4.744,0,0,1
42,1,1084.0999999046326,100,1700,16,4.202,0.15,5.223,0,0,1
43,1,663.5,100,1800,27,2.05,0.25,1.571,0,0,1
44,0,638.1999998092651,50,1800,27,2.236,0.25,1.856,0,0,1
45,1,1008.5,100,1900,16,4.173,0.15,5.112,0,0,1
46,1,847.4000000953674,0,1900,27,3.206,0.25,4.115,0,0,1
47,1,1567.5999999046326,100,2000,5,5.768,0.05,5.348,0,0,1
48,1,795.5999999046326,50,2050,27,3.306,0.25,4.446,0,0,1
49,1,1163.9000000953674,50,2100,5,5.081,0.05,3.284,0,0,1
50,1,741.6000001430511,50,2150,27,3.31,0.25,4.459,0,0,1
51,1,859.5,0,2150,16,3.963,0.15,4.377,0,0,1
52,1,1251.5,0,2150,5,6.242,0.05,7.47,0,0,1
53,1,1461.5,100,2250,5,6.124,0.05,6.877,0,0,1
54,1,866.2999999523163,100,2350,16,3.666,0.15,3.507,0,0,1
55,1,973.0999999046326,50,2400,16,4.801,0.15,8.06,0,0,1
56,1,750.5,100,2500,27,2.011,0.25,1.516,0,0,1
57,1,1276,100,2600,5,5.146,0.05,3.44,0,0,1
58,1,724.5,100,2700,27,2.594,0.25,2.52,0,0,1
59,1,706.0999999046326,50,2750,27,2.382,0.25,2.106,0,0,1
60,1,1269.8999998569489,100,2850,5,5.841,0.05,5.633,0,0,1
61,1,1049.0999999046326,100,2950,16,4.34,0.15,5.775,0,0,1
62,1,862.3000001907349,50,3000,16,4.75,0.15,7.77,0,0,1
63,1,935.3999998569489,0,3000,27,2.864,0.25,3.141,0,0,1
64,1,1723.5,100,3100,5,5.543,0.05,4.561,0,0,1
65,1,690.5999999046326,100,3200,27,2.586,0.25,2.502,0,0,1
66,1,968.3999998569489,50,3250,16,3.944,0.15,4.318,0,0,1
67,1,1017,50,3300,5,5.916,0.05,5.937,0,0,1
68,1,1712,0,3300,5,6.337,0.05,7.983,0,0,1
69,1,941.2000000476837,0,3300,16,4.285,0.15,5.547,0,0,1
70,1,744.3000001907349,0,3300,27,3.031,0.25,3.587,0,0,1
71,1,837.5,50,3350,16,4.061,0.15,4.709,0,0,1
72,1,1084.5,100,3450,16,4.82,0.15,8.175,0,0,1
73,1,851,100,3550,16,4.57,0.15,6.828,0,0,1
74,1,717,50,3600,27,2.721,0.25,2.797,0,0,1
75,1,1097.0999999046326,100,3700,16,4.016,0.15,4.554,0,0,1
76,1,2176.7000000476837,100,3800,5,5.511,0.05,4.459,0,0,1
77,1,2152,50,3850,5,6.258,0.05,7.555,0,0,1
78,1,1316.8999998569489,50,3900,16,4.643,0.15,7.198,0,0,1
79,1,932.3999998569489,50,3950,16,4.954,0.15,8.998,0,0,1
80,1,1361.2999999523163,0,3950,5,5.08,0.05,3.284,0,0,1
81,1,878.7000000476837,50,4000,16,4.285,0.15,5.548,0,0,1
82,1,826.0999999046326,100,4100,27,2.701,0.25,2.751,0,0,1
83,1,1037.5999999046326,100,4200,16,4.623,0.15,7.094,0,0,1
84,1,937.7999999523163,50,4250,27,3.193,0.25,4.073,0,0,1
85,1,1072.3999998569489,100,4350,16,4.608,0.15,7.016,0,0,1
86,1,668.4000000953674,50,4400,27,2.298,0.25,1.959,0,0,1
87,1,920.3999998569489,50,4450,16,3.564,0.15,3.249,0,0,1
88,1,1059.2000000476837,0,4450,16,4.333,0.15,5.746,0,0,1
89,1,943.0999999046326,100,4550,16,4.56,0.15,6.775,0,0,1
90,1,733.5999999046326,100,4650,27,2.895,0.25,3.219,0,0,1
91,1,1770.5,50,4700,5,6.483,0.05,8.846,0,0,1
92,1,745.5,0,4700,27,2.791,0.25,2.961,0,0,1
93,1,1448.2999999523163,0,4700,5,5.428,0.05,4.204,0,0,1
94,1,977.6000001430511,50,4750,16,4.784,0.15,7.965,0,0,1
95,1,1676.1999998092651,100,4850,5,5.316,0.05,3.884,0,0,1
96,1,1589,100,4950,5,6.057,0.05,6.556,0,0,1
97,1,1010.5999999046326,100,5050,5,5.053,0.05,3.22,0,0,1
98,1,877.1000001430511,100,5150,16,4.658,0.15,7.275,0,0,1
99,1,1172.6999998092651,0,5150,16,4.956,0.15,9.01,0,0,1
100,1,1126.5,0,5150,16,4.781,0.15,7.945,0,0,1
101,1,708.2000000476837,100,5250,27,2.355,0.25,2.058,0,0,1
102,1,1370.1000001430511,50,5300,5,5.88,0.05,5.791,0,0,1
103,1,906.1000001430511,50,5350,16,4.313,0.15,5.663,0,0,1
104,1,1153.6000001430511,100,5450,16,4.285,0.15,5.55,0,0,1
105,1,1543.7000000476837,100,5550,5,5.563,0.05,4.629,0,0,1
106,1,838.1000001430511,50,5600,16,3.656,0.15,3.482,0,0,1
107,1,874,0,5600,16,3.61,0.15,3.362,0,0,1
108,1,1226.7000000476837,0,5600,5,5.798,0.05,5.462,0,0,1
109,1,783.7000000476837,0,5600,27,2.695,0.25,2.739,0,0,1
110,1,752.5,100,5700,27,2.218,0.25,1.827,0,0,1
111,1,2149.7000000476837,50,5750,5,6.346,0.05,8.034,0,0,1
112,1,2158.899999856949,0,5750,16,4.715,0.15,7.581,0,0,1
