trial,success,reaction_time,target_p,total_p,target_radius,id,w,d,skipped,inaccurate,gen
0,0,1059,50,0,16,3.964,0.15,4.383,0,0,1
1,1,1045,0,0,16,3.606,0.15,3.352,0,0,1
2,0,1384,0,0,16,4.323,0.15,5.706,0,0,1
3,0,3014,50,0,5,6.292,0.05,7.734,1,0,1
3,0,1869,50,0,5,6.292,0.05,7.734,0,0,1
4,0,2182,50,0,5,5.665,0.05,4.972,0,1,1
4,0,1616,50,0,5,5.665,0.05,4.972,0,0,1
5,1,1519,50,50,5,5.076,0.05,3.273,0,0,1
6,0,1528,50,50,5,5.247,0.05,3.699,0,0,1
7,1,1490,0,50,5,5.671,0.05,4.996,0,0,1
8,1,1267,0,50,16,4.615,0.15,7.05,0,0,1
9,1,1971,0,50,5,5.953,0.05,6.094,0,0,1
10,0,1271,0,50,16,4.586,0.15,6.905,0,0,1
11,1,1226,0,50,16,4.833,0.15,8.251,0,0,1
12,1,1271,100,150,5,6.218,0.05,7.342,0,0,1
13,0,1800,50,150,5,5.493,0.05,4.402,0,0,1
14,1,1410,50,200,16,4.406,0.15,6.062,0,0,1
15,1,1350,50,250,5,5.047,0.05,3.207,0,0,1
16,1,1816,100,350,5,5.964,0.05,6.141,0,0,1
17,1,1603,100,450,5,5.615,0.05,4.8,0,0,1
18,1,1284,100,550,16,4.187,0.15,5.163,0,0,1
19,0,1999,50,550,5,6.041,0.05,6.486,0,0,1
20,1,1223,50,600,5,5.719,0.05,5.166,0,0,1
21,1,1776,0,600,5,5.199,0.05,3.574,0,0,1
22,1,1655,0,600,5,5.905,0.05,5.89,0,0,1
23,1,1993,100,700,5,6.473,0.05,8.781,0,0,1
24,1,1726,0,700,5,6.004,0.05,6.32,0,0,1
25,1,1802,50,750,5,5.331,0.05,3.924,0,0,1
26,1,1539,50,800,16,4.634,0.15,7.15,0,0,1
27,0,1517,0,800,5,5.13,0.05,3.402,0,0,1
28,1,1752,50,850,5,5.01,0.05,3.122,0,0,1
29,1,1504,50,900,16,4.25,0.15,5.407,0,0,1
30,1,1735,50,950,5,5.262,0.05,3.736,0,0,1
31,1,1193,100,1050,16,4.124,0.15,4.93,0,0,1
32,1,1482,100,1150,5,5.355,0.05,3.993,0,0,1
33,1,1860,0,1150,5,6.374,0.05,8.196,0,0,1
34,1,1777,50,1200,5,5.859,0.05,5.705,0,0,1
35,1,1462,100,1300,16,3.78,0.15,3.822,0,0,1
36,1,2058,100,1400,5,5.13,0.05,3.402,0,0,1
37,1,1767,0,1400,5,6.378,0.05,8.217,0,0,1
38,1,1303,0,1400,16,3.937,0.15,4.294,0,0,1
39,1,1623,100,1500,5,5.267,0.05,3.751,0,0,1
40,1,1599,50,1550,5,5.661,0.05,4.959,0,0,1
41,1,1609,50,1600,5,5.965,0.05,6.145,0,0,1
42,1,1312,100,1700,5,5.864,0.05,5.725,0,0,1
43,1,1609,100,1800,5,5.084,0.05,3.291,0,0,1
44,1,1169,50,1850,16,4.146,0.15,5.011,0,0,1
45,0,1509,100,1850,5,5.072,0.05,3.264,0,0,1
46,1,1608,100,1950,5,5.858,0.05,5.699,0,0,1
47,1,1833,0,1950,5,5.66,0.05,4.956,0,0,1
48,1,1195,0,1950,16,3.864,0.15,4.07,0,0,1
49,1,1643,0,1950,5,6.201,0.05,7.259,0,0,1
50,0,1464,100,1950,5,5.356,0.05,3.995,0,0,1
51,1,1561,0,1950,5,5.452,0.05,4.276,0,0,1
52,1,1124,50,2000,16,4.451,0.15,6.263,0,0,1
53,0,1433,50,2000,5,5.176,0.05,3.516,0,0,1
54,0,1802,0,2000,5,6.008,0.05,6.336,0,0,1
55,1,1680,100,2100,16,3.807,0.15,3.9,0,0,1
56,1,1752,100,2200,5,6.217,0.05,7.337,0,0,1
57,1,1080,50,2250,16,4.017,0.15,4.557,0,0,1
58,1,1682,50,2300,5,6.049,0.05,6.519,0,0,1
59,1,1387,50,2350,16,4.992,0.15,9.244,0,0,1
60,1,1370,50,2400,5,5.739,0.05,5.241,0,0,1
61,1,1793,100,2500,5,5.617,0.05,4.808,0,0,1
62,0,1486,50,2500,5,5.933,0.05,6.011,0,0,1
63,0,1178,100,2500,16,3.814,0.15,3.918,0,0,1
64,1,1542,50,2550,16,4.958,0.15,9.025,0,0,1
65,0,1448,0,2550,5,6.02,0.05,6.389,0,0,1
66,1,1384,0,2550,16,3.547,0.15,3.205,0,0,1
67,0,1832,100,2550,5,5.979,0.05,6.207,0,0,1
68,0,1688,100,2550,5,5.463,0.05,4.31,0,0,1
69,0,1442,0,2550,5,6.288,0.05,7.712,0,0,1
70,1,1774,0,2550,5,5.545,0.05,4.57,0,0,1
71,0,1857,0,2550,5,6.31,0.05,7.837,0,0,1
72,1,1463,0,2550,5,5.235,0.05,3.665,0,0,1
73,1,2137,100,2650,5,6.447,0.05,8.624,0,0,1
74,1,1511,100,2750,5,5.101,0.05,3.333,0,0,1
75,1,1458,100,2850,16,4.967,0.15,9.083,0,0,1
76,1,2126,50,2900,5,6.088,0.05,6.702,0,0,1
77,1,2112,0,2900,5,5.047,0.05,3.207,0,0,1
78,0,1800,0,2900,5,6.432,0.05,8.533,0,0,1
79,1,2232,0,2900,16,4.914,0.15,8.744,0,0,1
80,1,1784,50,2950,5,5.295,0.05,3.825,0,0,1
81,0,1775,0,2950,5,6.08,0.05,6.665,0,0,1
82,1,1960,0,2950,5,5.424,0.05,4.194,0,0,1
83,1,2113,100,3050,5,5.107,0.05,3.346,0,0,1
84,1,1383,100,3150,16,3.574,0.15,3.272,0,0,1
85,1,1904,100,3250,5,5.163,0.05,3.483,0,0,1
86,1,1735,0,3250,5,5.116,0.05,3.367,0,0,1
87,1,2073,0,3250,5,5.787,0.05,5.42,0,0,1
88,1,1783,100,3350,5,5.251,0.05,3.709,0,0,1
89,1,2182,100,3450,5,5.976,0.05,6.197,0,0,1
90,1,1905,50,3500,5,6.371,0.05,8.177,0,0,1
91,1,1824,50,3550,5,5.097,0.05,3.322,0,0,1
92,1,1944,0,3550,5,5.901,0.05,5.874,0,0,1
93,0,3012,50,3550,5,6.451,0.05,8.646,1,0,1
93,1,1948,50,3600,5,6.451,0.05,8.646,0,0,1
94,0,2102,100,3600,5,5.946,0.05,6.063,0,0,1
95,1,1314,0,3600,16,4.124,0.15,4.932,0,0,1
96,1,2257,100,3700,5,5.985,0.05,6.234,0,0,1
97,1,1799,0,3700,5,6.486,0.05,8.863,0,0,1
98,1,1344,0,3700,16,3.965,0.15,4.386,0,0,1
99,1,2073,0,3700,5,6.277,0.05,7.653,0,0,1
100,1,2526,100,3800,5,6.134,0.05,6.923,0,0,1
101,1,1312,100,3900,16,4.591,0.15,6.93,0,0,1
102,1,1750,100,4000,5,6.246,0.05,7.491,0,0,1
103,1,1466,0,4000,5,5.992,0.05,6.263,0,0,1
104,1,1856,50,4050,5,5.525,0.05,4.506,0,0,1
105,1,1521,0,4050,5,5.589,0.05,4.713,0,0,1
106,1,1511,100,4150,5,5.074,0.05,3.269,0,0,1
107,1,1344,100,4250,16,4.815,0.15,8.143,0,0,1
108,1,1215,100,4350,16,3.584,0.15,3.298,0,0,1
109,1,2120,0,4350,5,5.713,0.05,5.147,0,0,1
110,1,1729,50,4400,5,5.559,0.05,4.613,0,0,1
111,1,1710,0,4400,5,5.041,0.05,3.193,0,0,1
112,1,1663,50,4450,5,6.375,0.05,8.201,0,0,1
113,1,1120,0,4450,16,3.856,0.15,4.044,0,0,1
114,1,1839,100,4550,5,5.525,0.05,4.504,0,0,1
115,1,1714,50,4600,5,5.69,0.05,5.062,0,0,1
116,1,1221,0,4600,16,3.573,0.15,3.27,0,0,1
117,1,1415,50,4650,16,4.589,0.15,6.923,0,0,1
118,1,1353,100,4750,5,5.042,0.05,3.195,0,0,1
119,1,1486,50,4800,16,3.514,0.15,3.128,0,0,1
120,1,1496,50,4850,16,3.677,0.15,3.536,0,0,1
121,1,1536,50,4900,5,5.538,0.05,4.546,0,0,1
122,1,1863,0,4900,5,5.468,0.05,4.325,0,0,1
123,1,1664,0,4900,5,5.539,0.05,4.551,0,0,1
124,1,1600,50,4950,5,5.793,0.05,5.443,0,0,1
125,1,1831,0,4950,5,5.156,0.05,3.464,0,0,1
126,1,1513,100,5050,5,5.207,0.05,3.594,0,0,1
127,1,1487,50,5100,16,4.875,0.15,8.504,0,0,1
128,1,2657,50,5150,5,5.543,0.05,4.563,0,0,1
129,1,1535,100,5250,16,4.508,0.15,6.524,0,0,1
130,1,2912,100,5350,5,5.489,0.05,4.39,0,0,1
131,1,1496,50,5400,16,4.569,0.15,6.819,0,0,1
