trial,success,reaction_time,target_p,total_p,target_radius,id,w,d,skipped,inaccurate,gen
0,1,1136.7000000476837,50,50,15,4.646,0.15,7.214,0,0,1
1,1,2116.0999999046326,100,150,5,5.586,0.05,4.703,0,0,1
2,1,1330.4000000953674,100,250,26,2.884,0.25,3.19,0,0,1
3,1,2476.300000190735,0,250,5,6.311,0.05,7.838,0,0,1
4,1,1433.9000000953674,0,250,15,4.868,0.15,8.462,0,0,1
5,1,1692.2999999523163,0,250,15,4.733,0.15,7.675,0,0,1
6,1,947.7000000476837,100,350,26,2.1,0.25,1.643,0,0,1
7,1,1166.4000000953674,50,400,15,4.301,0.15,5.615,0,0,1
8,1,1109.8999998569489,50,450,26,2.854,0.25,3.116,0,0,1
9,1,1256.1000001430511,50,500,15,4.106,0.15,4.865,0,0,1
10,1,1029.8999998569489,100,600,26,3.012,0.25,3.533,0,0,1
11,1,1550.5,50,650,15,4.571,0.15,6.83,0,0,1
12,1,1799.9000000953674,0,650,5,5.975,0.05,6.191,0,0,1
13,1,1708,0,650,15,4.867,0.15,8.455,0,0,1
14,1,1190.2999999523163,50,700,15,4.083,0.15,4.786,0,0,1
15,1,1986,50,750,15,4.644,0.15,7.2,0,0,1
16,1,1152.2000000476837,0,750,26,2.291,0.25,1.948,0,0,1
17,1,1734.1999998092651,50,800,15,4.691,0.15,7.451,0,0,1
18,1,1434,0,800,26,2.551,0.25,2.43,0,0,1
19,1,2708.5,50,850,5,5.709,0.05,5.132,0,0,1
20,1,1134.0999999046326,0,850,26,2.281,0.25,1.93,0,0,1
21,1,1639.9000000953674,100,950,15,4.571,0.15,6.832,0,0,1
22,1,2756.2999999523163,0,950,5,5.973,0.05,6.181,0,0,1
23,1,1382.5,50,1000,15,3.824,0.15,3.948,0,0,1
24,1,891.8999998569489,100,1100,26,2.081,0.25,1.615,0,0,1
25,1,1076.2000000476837,100,1200,26,2.366,0.25,2.078,0,0,1
26,1,1078.2999999523163,50,1250,26,2.952,0.25,3.369,0,0,1
27,1,1146.0999999046326,100,1350,26,2.349,0.25,2.047,0,0,1
28,1,1634,50,1400,15,4.629,0.15,7.123,0,0,1
29,1,2176.5,0,1400,15,4.892,0.15,8.607,0,0,1
30,1,2630.199999809265,100,1500,5,5.117,0.05,3.371,0,0,1
31,1,1286,50,1550,26,3.21,0.25,4.127,0,0,1
32,1,1620.5,100,1650,15,4.963,0.15,9.056,0,0,1
33,1,2924,50,1700,5,5.046,0.05,3.205,0,0,1
34,1,1302.2000000476837,100,1800,26,2.751,0.25,2.866,0,0,1
35,1,2784.5,50,1850,5,5.463,0.05,4.311,0,0,1
36,1,1136,100,1950,26,2.167,0.25,1.745,0,0,1
37,1,1128.2000000476837,0,1950,15,3.611,0.15,3.366,0,0,1
38,1,1090.3999998569489,100,2050,26,2.276,0.25,1.922,0,0,1
39,1,1498.0999999046326,50,2100,15,4.479,0.15,6.388,0,0,1
40,0,3005,100,2100,5,5.646,0.05,4.906,1,0,1
40,0,3005.100000143051,100,2100,5,5.646,0.05,4.906,1,0,1
40,1,1983.6000001430511,100,2200,5,5.646,0.05,4.906,0,0,1
41,1,2046.1000001430511,100,2300,5,5.482,0.05,4.37,0,0,1
